Topic,Tweet,Airline
Delays & Waiting,@united   Pushing 2 hours on hold. Priceless. http://t.co/thS10LDY2a,United
Delays & Waiting,@united really enjoying my Sunday on hold...over 1 hour. Perhaps a better client experience is needed. http://t.co/8VnCKgZxl1,United
Delays & Waiting,@united of course I would like hepl! Are you kidding me? That's the ONLY reason I've been on hold for the past 5 hours!,United
Topic: suck guys fuck you hate killin...,@VirginAmerica and it's a really big bad thing about it,Virgin America
Topic: suck guys fuck you hate killin...,@VirginAmerica you suck!,Virgin America
Topic: suck guys fuck you hate killin...,"@united thats weak. See ya 👋
Hey @VirginAmerica !!",United
Topic: passengers attendants rude att...,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude.",United
Topic: passengers attendants rude att...,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude.",United
Topic: passengers attendants rude att...,@united flight attendant doesn’t understand not understanding English doesn’t mean they are deaf. Stop yelling English slowly to them.,United
Cancellations / Flights,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher,United
Cancellations / Flights,@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?,United
Cancellations / Flights,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline w/out WiFi...and pls no 'unwind' BS.,United
Topic: email complaint response dm re...,"@VirginAmerica Trying to reset my password, email never arrives. Help?",Virgin America
Topic: email complaint response dm re...,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.,Virgin America
Topic: email complaint response dm re...,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",United
Topic: fee change price 200 ticket ch...,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW,Virgin America
Topic: fee change price 200 ticket ch...,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!,United
Topic: fee change price 200 ticket ch...,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B,United
Topic: food meal catering eat voucher...,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,Virgin America
Topic: food meal catering eat voucher...,@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.,United
Topic: food meal catering eat voucher...,@united plus what about food? And taxis?,United
Delays & Waiting,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,Virgin America
Delays & Waiting,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,Virgin America
Delays & Waiting,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",Virgin America
Customer Service,@VirginAmerica Why is the site down?  When will it be back up?,Virgin America
Customer Service,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Virgin America
Customer Service,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,Virgin America
Topic: she her shes name was nexus re...,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.,United
Topic: she her shes name was nexus re...,The saga of the @MelissaAFrancis bag delay w/ @United - will there be a reunion or will she be forced to go shopping? Stay tuned.,United
Topic: she her shes name was nexus re...,"@united shes been rescheduled for today, but with the frigid cold, being a possible reason for ""maintenance"" it could be the same issue 2day",United
Customer Service,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Virgin America
Customer Service,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice.",United
Customer Service,@united pls properly train your agents. Requested to speak to 1k customer service &amp; was transferred to a dead end. Not even open at this hr,United
Topic: voucher hotel vouchers rooms u...,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,Virgin America
Topic: voucher hotel vouchers rooms u...,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting,United
Topic: voucher hotel vouchers rooms u...,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice,United
Delays & Waiting,@united we have tried to change our flight THREE times on the phone and got disconnected each time.,United
Delays & Waiting,"@united Yeah, I tried that about 10 times for two different tickets, and it told me to ""Try again Late Flightr"".",United
Delays & Waiting,@united his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.,United
Customer Service,@united i will just send my confirmation number when I get home safe and sound. This is why i pay so expensive services to you!,United
Customer Service,"@united My wife has been on the phone several times for past 3 days, with no result.",United
Customer Service,@SouthwestAir How? It is not possible to call SWA on the phone. You put me on hold for an hour and then cut me off.,Southwest
Delays & Waiting,@VirginAmerica delayed to10.30!!,Virgin America
Delays & Waiting,"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent.",United
Delays & Waiting,@united you suck.    9 hour delay?!,United
Luggage Issues,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,Virgin America
Luggage Issues,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication,United
Luggage Issues,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)",United
Customer Service,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",United
Customer Service,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC,United
Customer Service,@united what a pointless tweet. At least @AmericanAir asked me to follow them to try and resolve,United
Customer Service,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,Virgin America
Customer Service,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",Virgin America
Customer Service,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,Virgin America
Weather,"@united You can't control turbulence, but you can control customer experience, lot of scared people up here.",United
Weather,"@united more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD",United
Weather,"@united has me #stranded (weather NOT to blame). 1hr+ hold to speak to an agent that doesn't understand the concept of time zones, thanks!",United
Seating / Comfort,@united to speak to a real person to get this resolved politely and efficiently. (2/2),United
Seating / Comfort,@united So you are inadequate by accident?,United
Seating / Comfort,@united ...and when that doesn't work...,United
Topic: aa response drop point embarra...,@USAirways is anything being done to make Flight Attendants aware of AA member benefits? Embarrassing being argued with. Just happened.,US Airways
Topic: aa response drop point embarra...,@USAirways Another dead end.  They only handle AA L&amp;F.  They gave me the same failed # I already had. 610-362-7498(99) VM full.  #lost,US Airways
Topic: aa response drop point embarra...,@USAirways I have never been given a number for elite for usair. Only AA. I waited for 3 hours for an answer and by then my seat was gone.,US Airways
Topic: jetblue blue jet maimi go tick...,@united who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH http://t.co/T78k7aBtWF,United
Topic: jetblue blue jet maimi go tick...,@united why are your SFO-&gt;BOS nonstop flights not competitively priced with those of JetBlue and Virgin? $179 vs $324. Identical times.,United
Topic: jetblue blue jet maimi go tick...,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",Delta
Cancellations / Flights,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,Virgin America
Cancellations / Flights,"@united my flight was already Cancelled Flightled this morning because of a ""snow storm in Denver"". And now I'm in DC waiting for a pilot to get on+",United
Cancellations / Flights,@united ROC flight Cancelled Flightled. Love my snowy drive home with no useful substitutes,United
Topic: fly experience ever never flyi...,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.,United
Topic: fly experience ever never flyi...,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you.",United
Topic: fly experience ever never flyi...,"@united Currently on UA862, 20 minutes of the worst turbulence I've ever experienced, and ZERO communication from the flight deck.",United
Cancellations / Flights,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!",United
Cancellations / Flights,@USAirways any word on flight 1748 getting out of DFW in the near future? Stuck on plane at gate for over an hour,US Airways
Cancellations / Flights,"@AmericanAir flight 1181 out of Vegas to DFW. Cancelled Flightled Sunday and Monday, no whammie today!",American
Topic: dm follow dmd twitter you foll...,@VirginAmerica Just DM'd. Same issue persisting.,Virgin America
Topic: dm follow dmd twitter you foll...,@united you have to follow me in order for me to DM...come on now,United
Topic: dm follow dmd twitter you foll...,@united not able to DM you my confirmation number,United
Topic: miles mileage account card mil...,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,Virgin America
Topic: miles mileage account card mil...,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!,United
Topic: miles mileage account card mil...,@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.,United
Topic: ticket refund charge transacti...,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,Virgin America
Topic: ticket refund charge transacti...,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time.",Virgin America
Topic: ticket refund charge transacti...,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee,United
Seating / Comfort,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail,United
Seating / Comfort,@united Ruth was VERY helpful in re-routing us to Punta Cana when Dulles connection failed. Other reps- NOT so helpful.,United
Seating / Comfort,"@usairways RT @Dmoukdarath: Nice, another delay with @usair second one this trip. Left engine leaking...what's next?? #USAIR #nothappy",US Airways
Delays & Waiting,@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.,United
Delays & Waiting,"@united 3 hrs searching for flts, find 1 on site &amp; can't book the $ offered bc 1 seg isn't really available. #lies #falseadvertising",United
Delays & Waiting,"@SouthwestAir my Flt was delayed, scheduled to miss my connection, can I get some help? 8HH4P2",Southwest
Cancellations / Flights,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Virgin America
Cancellations / Flights,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,Virgin America
Cancellations / Flights,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.,Virgin America
Cancellations / Flights,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR,United
Cancellations / Flights,"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",United
Cancellations / Flights,@united two service agents hung up on me the third was able to get me a flight on US air today. Three calls and 2.5 hours to get a flight,United
Cancellations / Flights,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,United
Cancellations / Flights,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),United
Cancellations / Flights,@united pushing five hours and my time is worth nothing to you. reFlight Booking Problems not an option unfortunately.,United
Topic: tv oscars watch abc directtv f...,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,Virgin America
Topic: tv oscars watch abc directtv f...,@VirginAmerica all crap channels which is why I pay to watch UK tv,Virgin America
Topic: tv oscars watch abc directtv f...,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable,United
Delays & Waiting,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue.",United
Delays & Waiting,@united that's why I missed my flight. If the flight had been held for 5 minutes I would have made it. I watched it pull away from the gate,United
Delays & Waiting,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,United
Luggage Issues,@united is the worst airline in the world.,United
Luggage Issues,@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!,United
Luggage Issues,@united is by far the worst airline ever 😡😡,United
Customer Service,"@united should hire extra customer service reps. 50 minute wait time to ask one question? I would rather just fly another airline, thanks.",United
Customer Service,@united Airline SUCKS! Customer Service SUCKS! NO courtesy! Incompetent - passengers do NOT matter- Bet the CEO is just doing fine though!,United
Customer Service,.@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,United
Cancellations / Flights,@SouthwestAir 2 hrs to put a tag on my bag sayin it should go to greenville instead of Raleigh?! ARE YOU KIDDING ME?!,Southwest
Cancellations / Flights,"@SouthwestAir I was in Nashville and I had to drive 3 and a half hours to Memphis, but I made it as the plane was loading!",Southwest
Cancellations / Flights,@USAirways I have two tight connections in #Charlotte and #Frankfurt,US Airways
Topic: fleek fleets rt our stop on ha...,@united sure... You've been saying that for as long as I've been tweeting about your obsolete fleet.  Promises are free.,United
Topic: fleek fleets rt our stop on ha...,See what you started now @nytimes RT @JetBlue: Our fleet's on fleek. http://t.co/atd2Sm8HF4,Delta
Topic: fleek fleets rt our stop on ha...,"Social agencies, this is why we can't have nice things. @JetBlue: Our fleet's on fleek. http://t.co/QRxz0bGbtq",Delta
Delays & Waiting,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United,United
Delays & Waiting,@united 40 minutes on tarmac now. That's after 9 hour delay.,United
Delays & Waiting,"@united &amp; on top of no free tv on the int’l leg, now I’m sitting on the Tarmac in Houston, 70 min past departure w/ another hr plus to go",United
Topic: cleaned bathroom clean vomit g...,"@united agent, ""You should use the bathroom before boarding.. Toilets onboard are full."" Oh you can expected a strongly worded email FUnited",United
Topic: cleaned bathroom clean vomit g...,"@united a baby shit its pants half way through my flight and it smelled like shit, what are you going to do about this?",United
Topic: cleaned bathroom clean vomit g...,@united you would think you would clean your ramps. Our jet is stuck in the snow in Newark. This would never happen with @Delta,United
Cancellations / Flights,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,Virgin America
Cancellations / Flights,@united ridiculous! I have to be refunded whenever I get at my final destination or not!,United
Cancellations / Flights,"@united help me, united! I paid for economy plus on a flight that was changed BC of delay. Will I be automatically refunded?",United
Topic: plane mechanics maintenance me...,@united was no one between the scan and inside the plane. I just asked the people in line around me where the plane was going,United
Topic: plane mechanics maintenance me...,@united strikes again! Why board anyone if there's something wrong with the plane? Common sense.,United
Topic: plane mechanics maintenance me...,@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems. Doesn't anyone actually do maintenance,United
Customer Service,@united thanks for reminding me how much easier it is to fly Southwest!  Get more agents at sfo 25!,United
Customer Service,@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.,United
Customer Service,@SouthwestAir thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.,Southwest
Topic: sleep airport sleeping stay pl...,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive..,United
Topic: sleep airport sleeping stay pl...,@united stay more than 24h traveling ans sleeping on the airports floor,United
Topic: sleep airport sleeping stay pl...,@united apparently sleeping in B terminal wasn't the worst situation. Someone told other UA passengers they had to sleep at baggage claim.,United
Delays & Waiting,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?",United
Delays & Waiting,@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?,United
Delays & Waiting,@United my flight from MCO has been delayed &amp; scheduled to arrive after my connection departs. What options do I have?,United
Delays & Waiting,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline",United
Delays & Waiting,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,United
Delays & Waiting,"@united keeps delaying my flight, horrible customer service",United
Topic: dividend miles dividends wrong...,@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on,US Airways
Topic: dividend miles dividends wrong...,@USAirways really???  NOT ONE OF THEM CAN BOOK DIVIDEND MILES TRAVEL - Literally on hold now since 9:50pm - it's 11:30pm #NoExcuses,US Airways
Topic: dividend miles dividends wrong...,"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,",US Airways
Seating / Comfort,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You,United
Seating / Comfort,@united why don't you allow families with small children to board first anymore? Our next flight will be on another airline...,United
Seating / Comfort,"@SouthwestAir Disappointed in the FAA ""regulation"" you have 2 furnish proof of age 4 toddler. Thx for the unnecessary headache. #flyUnited",Southwest
Customer Service,"@united done. Want me to send a screen shot of the second call, which is now at over 45 minutes?",United
Customer Service,@united thx for checking in. Never got through via phone. On hold over hour. How long is too long to wait on hold? Ugh. #csfail,United
Customer Service,"@SouthwestAir Sorry to bother you, but I've been on hold for more than 2 hours and 30 minutes. Should I continue holding? Or call back?",Southwest
Topic: birthday destinationdragons bd...,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",Virgin America
Topic: birthday destinationdragons bd...,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!",Virgin America
Topic: birthday destinationdragons bd...,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,Virgin America
Delays & Waiting,"@united Waiting for 3494 EWR-ORD, delayed 47 mins. Might miss 5491 ORD-YWG at 6pm CT. Any room on 5644 ORD-YWG in case I miss connex?",United
Delays & Waiting,@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.,United
Delays & Waiting,@SouthwestAir love how you hold flight 2851 in PHX for Late Flight passengers and make us all over an hour Late Flight. Great job.,Southwest
Topic: points pts gone redeem 200 rea...,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.,United
Topic: points pts gone redeem 200 rea...,"@united you are trying to charge me 150 bucks because you lowered your award tickets and I want to get my hard earn points back, total BS",United
Topic: points pts gone redeem 200 rea...,@SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?,Southwest
Delays & Waiting,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,Virgin America
Delays & Waiting,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.,United
Delays & Waiting,@united my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!,United
Cancellations / Flights,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),United
Cancellations / Flights,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.,United
Cancellations / Flights,@united no chance I wait in ORD all afternoon for another flight after you screwed me. Hold 5396,United
Topic: apology forgive guys worse fuc...,@united but it's hard to stay upset at someone when they at least TRY to show remorse.,United
Topic: apology forgive guys worse fuc...,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",United
Topic: apology forgive guys worse fuc...,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?,United
Topic: drinks serving drunks drunk dr...,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,Virgin America
Topic: drinks serving drunks drunk dr...,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,Virgin America
Topic: drinks serving drunks drunk dr...,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool",United
Delays & Waiting,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,Virgin America
Delays & Waiting,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",Virgin America
Delays & Waiting,@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option,United
Topic: vacation trip done rent living...,@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united,United
Topic: vacation trip done rent living...,@united just filled it out. Hope someone responds before we book our next trip.,United
Topic: vacation trip done rent living...,@united I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors.,United
Topic: water ice frozen plane freezin...,"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like",United
Topic: water ice frozen plane freezin...,@united also didn't ice the frozen metal walkway. Wasted 40 minutes because no one knew how to do simple jobs.,United
Topic: water ice frozen plane freezin...,"@united ... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !",United
Customer Service,@united I already follow you. One of you 800-number agents rebooked me. Went from a 777 to an a320. Ugh.,United
Customer Service,@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!,Southwest
Customer Service,"@SouthwestAir   A whole family, with a special Olympic athlete here, and you can't even call them? 617-653-3040",Southwest
Customer Service,@united seriously #fail on making strangers share a room,United
Customer Service,@united so is the ^JJ standing for Just Joking?  I am not finding the humor.,United
Customer Service,@united Tell me that you're at least going to cover a room and get me out of here.,United
Seating / Comfort,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB",United
Seating / Comfort,@JetBlue i appreciate that. When i flew with you in January the check engine light came on right before take off. Now it is a computer.,Delta
Seating / Comfort,@USAirways no my flight plans have been delayed until tuesday due to your computer crash,US Airways
Topic: did nope dissapointment itd he...,@united i did but i got nothing from it. Just dissapointment =(,United
Topic: did nope dissapointment itd he...,@united I was. But I have given up.,United
Topic: did nope dissapointment itd he...,"@united no, we still have not heard anything from anyone at @united or the @ErieAirport",United
Topic: lax 1081 badmgmt term american...,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Virgin America
Topic: lax 1081 badmgmt term american...,"@united I took the exact same aircraft in to LAX 3 days ago. It fit, no problem. The agent today told some nonsense about a policy change",United
Topic: lax 1081 badmgmt term american...,@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS,United
Cancellations / Flights,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.,United
Cancellations / Flights,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund",United
Cancellations / Flights,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city,United
Topic: tweet twitter airline thats ho...,@united airlines 1st &amp; only time I ever fly your airline! What a disgrace. @JimTrotter_NFL I should've listened to your tweet! #HORRIBLE,United
Topic: tweet twitter airline thats ho...,"@united I can tell you. Your airline has lost mine and my families business. 
This day and age message through Twitter travels fast.",United
Topic: tweet twitter airline thats ho...,@united thats because you didnt read my entire tweet. Wife's 12pm flight is now delayed to 6:30.  Thats 3 6+ hour flight delays in 2 weeks,United
Topic: boarding process procedure pas...,@United is truly the drunk uncle of boarding. Don't believe gate agent that overhead is full; don't reserve aisle http://t.co/cdZhTyd0aK,United
Topic: boarding process procedure pas...,@united Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy! #ImproveTheProcess,United
Topic: boarding process procedure pas...,"@united boarding was decent, 3 useless agents that don't speak English (after 2.5hrs of hold) 6hrs of mech delay not so much",United
Topic: delta folk goddamn gogo approp...,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,United
Topic: delta folk goddamn gogo approp...,"@united you failed me last week at IAH. Next intl trip on Delta. Small ual flight from lax booked, that's it!",United
Topic: delta folk goddamn gogo approp...,@united not happening.  Delta took care of us.  Peace!,United
